"Fnc" "Time"
"513" "fnc_assign(y30000)" 574112450
"514" "fnc_assign(y5000)" 17866060
"515" "fnc_assign(y1000)" 1308009
"516" "fnc_assign(y30000)" 549932875
"517" "fnc_assign(y5000)" 19177046
"518" "fnc_assign(y1000)" 1283588
"519" "fnc_assign(y20000)" 262554574
"520" "fnc_assign(y30000)" 607515646
"521" "fnc_assign(y10000)" 78707742
"522" "fnc_assign(y1000)" 2235481
"523" "fnc_assign(y5000)" 21440836
"524" "fnc_assign(y5000)" 23541492
"525" "fnc_assign(y5000)" 21957187
"526" "fnc_assign(y5000)" 56791310
"527" "fnc_assign(y50000)" 1700103296
"528" "fnc_assign(y5000)" 18801512
"529" "fnc_assign(y40000)" 1028843820
"530" "fnc_assign(y30000)" 571312927
"531" "fnc_assign(y1000)" 2070254
"532" "fnc_assign(y30000)" 541955988
"533" "fnc_assign(y30000)" 568615099
"534" "fnc_assign(y10000)" 66913388
"535" "fnc_assign(y5000)" 47294819
"536" "fnc_assign(y20000)" 230387104
"537" "fnc_assign(y30000)" 569953808
"538" "fnc_assign(y50000)" 1613851467
"539" "fnc_assign(y50000)" 1632158964
"540" "fnc_assign(y5000)" 49130955
"541" "fnc_assign(y100)" 109046
"542" "fnc_assign(y10000)" 78631794
"543" "fnc_assign(y40000)" 1163259903
"544" "fnc_assign(y100)" 114639
"545" "fnc_assign(y50000)" 1622559676
"546" "fnc_assign(y20000)" 267824414
"547" "fnc_assign(y50000)" 1594757008
"548" "fnc_assign(y30000)" 575283707
"549" "fnc_assign(y10000)" 63657132
"550" "fnc_assign(y1000)" 1314401
"551" "fnc_assign(y30000)" 607601311
"552" "fnc_assign(y50000)" 1621777928
"553" "fnc_assign(y100)" 114476
"554" "fnc_assign(y1000)" 1264510
"555" "fnc_assign(y1000)" 1182859
"556" "fnc_assign(y100)" 104022
"557" "fnc_assign(y30000)" 573474688
"558" "fnc_assign(y40000)" 997870384
"559" "fnc_assign(y10000)" 64086451
"560" "fnc_assign(y50000)" 1644826754
"561" "fnc_assign(y20000)" 268890594
"562" "fnc_assign(y40000)" 1002084151
"563" "fnc_assign(y20000)" 259030213
"564" "fnc_assign(y5000)" 18719110
"565" "fnc_assign(y30000)" 596777451
"566" "fnc_assign(y10000)" 71759611
"567" "fnc_assign(y5000)" 18070991
"568" "fnc_assign(y30000)" 636764932
"569" "fnc_assign(y10000)" 64544021
"570" "fnc_assign(y40000)" 1153937440
"571" "fnc_assign(y100)" 141179
"572" "fnc_assign(y5000)" 24578689
"573" "fnc_assign(y10000)" 72627589
"574" "fnc_assign(y10000)" 61890107
"575" "fnc_assign(y100)" 110394
"576" "fnc_assign(y40000)" 1030296980
"577" "fnc_assign(y50000)" 1578074719
"578" "fnc_assign(y5000)" 18579303
"579" "fnc_assign(y20000)" 258255590
"580" "fnc_assign(y10000)" 62387671
"581" "fnc_assign(y30000)" 570350223
"582" "fnc_assign(y40000)" 1023223795
"583" "fnc_assign(y20000)" 232664518
"584" "fnc_assign(y30000)" 569968418
"585" "fnc_assign(y5000)" 18987151
"586" "fnc_assign(y20000)" 262886270
"587" "fnc_assign(y30000)" 577123627
"588" "fnc_assign(y10000)" 62876514
"589" "fnc_assign(y1000)" 1343204
"590" "fnc_assign(y100)" 98033
"591" "fnc_assign(y40000)" 1029653970
"592" "fnc_assign(y5000)" 18857374
"593" "fnc_assign(y20000)" 263813603
"594" "fnc_assign(y1000)" 1397668
"595" "fnc_assign(y40000)" 1010459774
"596" "fnc_assign(y20000)" 265435177
"597" "fnc_assign(y100)" 132501
"598" "fnc_assign(y20000)" 262348857
"599" "fnc_assign(y20000)" 231462960
"600" "fnc_assign(y100)" 173680
"601" "fnc_assign(y40000)" 1027326086
"602" "fnc_assign(y10000)" 63897369
"603" "fnc_assign(y40000)" 1006079500
"604" "fnc_assign(y40000)" 1030550830
"605" "fnc_assign(y20000)" 264386285
"606" "fnc_assign(y5000)" 18000101
"607" "fnc_assign(y50000)" 1594831023
"608" "fnc_assign(y20000)" 263168322
"609" "fnc_assign(y1000)" 1341252
"610" "fnc_assign(y20000)" 264634054
"611" "fnc_assign(y30000)" 573718445
"612" "fnc_assign(y1000)" 1316165
"613" "fnc_assign(y20000)" 263423587
"614" "fnc_assign(y5000)" 17926196
"615" "fnc_assign(y10000)" 64409527
"616" "fnc_assign(y10000)" 65105054
"617" "fnc_assign(y10000)" 68159455
"618" "fnc_assign(y1000)" 1367399
"619" "fnc_assign(y10000)" 95354932
"620" "fnc_assign(y30000)" 544009758
"621" "fnc_assign(y100)" 122489
"622" "fnc_assign(y20000)" 264911600
"623" "fnc_assign(y10000)" 70535488
"624" "fnc_assign(y50000)" 1628261869
"625" "fnc_assign(y1000)" 1337956
"626" "fnc_assign(y20000)" 263789974
"627" "fnc_assign(y40000)" 1007365217
"628" "fnc_assign(y50000)" 1629205620
"629" "fnc_assign(y10000)" 63879474
"630" "fnc_assign(y40000)" 1030815139
"631" "fnc_assign(y10000)" 64058728
"632" "fnc_assign(y100)" 111672
"633" "fnc_assign(y20000)" 263642202
"634" "fnc_assign(y50000)" 1594654754
"635" "fnc_assign(y30000)" 569529492
"636" "fnc_assign(y10000)" 62437980
"637" "fnc_assign(y10000)" 91573501
"638" "fnc_assign(y20000)" 232583938
"639" "fnc_assign(y10000)" 92806661
"640" "fnc_assign(y50000)" 1589319618
"641" "fnc_assign(y40000)" 1028671554
"642" "fnc_assign(y50000)" 1586333834
"643" "fnc_assign(y20000)" 262006372
"644" "fnc_assign(y30000)" 568878153
"645" "fnc_assign(y10000)" 65961041
"646" "fnc_assign(y50000)" 1617165574
"647" "fnc_assign(y10000)" 64829499
"648" "fnc_assign(y30000)" 574727555
"649" "fnc_assign(y100)" 125020
"650" "fnc_assign(y10000)" 64456082
"651" "fnc_assign(y50000)" 1617718297
